Maine counties and 2024 full value property tax rates,,,
,,,
county,mill_rate_2024,proptax_pct_2024,proptax_rate_2024
Androscoggin,12.85,1.285,0.01285
Aroostook,15.96,1.596,0.01596
Cumberland,10.62,1.062,0.01062
Franklin,8.59,0.859,0.00859
Hancock,8.39,0.839,0.00839
Kennebec,11.07,1.107,0.01107
Knox,10.58,1.058,0.01058
Lincoln,7.53,0.753,0.00753
Oxford,9.4,0.94,0.0094
Penobscot,13.8,1.38,0.0138
Piscataquis,10.04,1.004,0.01004
Sagadahoc,10.35,1.035,0.01035
Somerset,11.85,1.185,0.01185
Waldo,11.37,1.137,0.01137
Washington,11.88,1.188,0.01188
York,8.76,0.876,0.00876
,,,
,,,
Source: 2024 Maine full value tax rates by county come from the Maine Revenue Served and represent tru market value or equalized value of property tax rate.,,,
